 err sigma lambda
4.0 1.0 0.0030 1/240 0.4166666666666667%
4.0 1.3 0.0010 11/242 4.545454545454546%
4.0 1.7 0.0010 7/243 2.880658436213992%
4.0 1.7 0.0030 1/243 0.411522633744856%
4.0 2.1 0.0010 8/242 3.3057851239669422%
4.0 2.1 0.0030 1/238 0.42016806722689076%
4.0 2.1 0.01 1/246 0.40650406504065045%
4.0 2.3 0.0010 7/224 3.125%
4.0 2.3 0.0030 2/235 0.851063829787234%
4.0 2.5 0.0010 6/234 2.564102564102564%
4.0 2.5 0.0030 2/223 0.8968609865470852%
5.0 2.5 0.0010 1/234 0.4273504273504274%
