lambda lambda_ih success
5 0.000005 88.2352941
5 0.00001 96.2264151
5 0.00002 98
5 0.00005 91.4893617
5 0.0001 98.3870968
5 0.0002 85.4545455
5 0.0005 90
5 0.001 84
5 0.002 89.9082569
5 0.005 77.4774775
5 0.01 67.3469388
5 0.02 76.2711864
5 0.05 62
5 0.1 72.8813559
5 0.2 63.0769231
5 0.5 65
5 1 71.4285714
5 10 2.0408163
5 2 67.2131148
5 5 20.3389831
50 0.0000001 70.3125
50 0.0000002 56.3636364
50 0.0000005 67.6923077
50 0.000001 75.4716981
50 0.000002 72.8813559
50 0.000005 86
50 0.00001 85.4545455
50 0.00002 93.75
50 0.00005 95.5882353
50 0.0001 86.5384615
50 0.0002 95.4545455
50 0.0005 88.5245902
50 0.001 94.3396226
50 0.002 88.9908257
50 0.005 88.9908257
50 0.01 88.1355932
50 0.02 77.3584906
50 0.05 70.212766
50 0.1 68.1818182
50 0.2 68.852459
50 0.5 74.5098039
50 1 66.6666667
50 2 64.4067797
50 5 30.5555556
500 0.0000001 74.1935484
500 0.0000002 76.5957447
500 0.0000005 61.2903226
500 0.000001 77.3584906
500 0.000002 83.0188679
500 0.000005 84.9056604
500 0.00001 93.5483871
500 0.00002 98.2758621
500 0.00005 91.9354839
500 0.0001 90.7407407
500 0.0002 86.4864865
500 0.0005 96.3636364
500 0.001 92.7927928
500 0.002 93.1372549
500 0.005 88.0434783
500 0.01 87.6923077
500 0.02 84.7826087
500 0.05 75.862069
500 0.1 78.8461538
500 0.2 75.4385965
500 0.5 67.7419355
500 1 74.137931
500 2 75.862069
500 5 26.3157895
5000 0.0000001 70.1754386
5000 0.0000002 72.4137931
5000 0.0000005 78.4313725
5000 0.000001 68.2539683
5000 0.000002 76.5625
5000 0.000005 85.1851852
5000 0.00001 92.0634921
5000 0.00002 89.5833333
5000 0.00005 98.3870968
5000 0.0001 98.1481481
5000 0.0002 98.2142857
5000 0.0005 93.1034483
5000 0.001 96
5000 0.002 90.9090909
5000 0.005 91.8367347
5000 0.01 83.3333333
5000 0.02 88.8888889
5000 0.05 72.4137931
5000 0.1 66.6666667
5000 0.2 70
5000 0.5 65.1162791
5000 1 65.2173913
5000 10 1.9230769
5000 2 62.5
5000 5 36.9565217
1 0.00001 88.8059701
1 0.00002 93.7106918
1 0.00005 93.1428571
1 0.0001 93.2330827
1 0.0002 92.1985816
1 0.0005 90.2777778
1 0.001 90.9638554
1 0.002 85.1428571
1 0.005 86.3636364
10 0.00001 92.4137931
10 0.00002 91.2751678
10 0.00005 95.1807229
10 0.0001 96.1832061
10 0.0002 93.081761
10 0.0005 92.1568627
10 0.001 89.244186
10 0.002 90.5405405
10 0.005 83.5714286
100 0.00001 93.5483871
100 0.00002 96.4539007
100 0.00005 94.0828402
100 0.0001 94.2857143
100 0.0002 93.8547486
100 0.0005 95.5696203
100 0.001 90.9395973
100 0.002 90.2597403
100 0.005 87.9746835
1000 0.00001 94.0828402
1000 0.00002 91.5584416
1000 0.00005 95.5696203
1000 0.0001 96.8152866
1000 0.0002 93.4911243
1000 0.0005 93.1034483
1000 0.001 96.3815789
1000 0.002 92.4528302
1000 0.005 87.5
10000 0.00001 90.4
10000 0.00002 94.2196532
10000 0.00005 89.6551724
10000 0.0001 94.4099379
10000 0.0002 93.1506849
10000 0.0005 94.7712418
10000 0.001 90.6976744
10000 0.002 94.9367089
10000 0.005 93.5064935
2 0.00001 90.647482
2 0.00002 91.1764706
2 0.00005 92.6470588
2 0.0001 92.6666667
2 0.0002 95.2380952
2 0.0005 93.4640523
2 0.001 92.384106
2 0.002 89.375
2 0.005 87.037037
20 0.00001 92.2580645
20 0.00002 94.6745562
20 0.00005 95.9731544
20 0.0001 90.9774436
20 0.0002 96.3855422
20 0.0005 94.9275362
20 0.001 91.0596026
20 0.002 90.1639344
20 0.005 80.5755396
200 0.00001 89.5424837
200 0.00002 96.875
200 0.00005 90.4411765
200 0.0001 95.3642384
200 0.0002 93.129771
200 0.0005 92.7152318
200 0.001 92.879257
200 0.002 90.3614458
200 0.005 90.1840491
2000 0.00001 94.4785276
2000 0.00002 95.3020134
2000 0.00005 94.0397351
2000 0.0001 96.9512195
2000 0.0002 92.9078014
2000 0.0005 89.1025641
2000 0.001 93.6305732
2000 0.002 91.2162162
2000 0.005 91.875
5 0.00001 88.1944444
5 0.00002 92.7152318
